,n_attack,n_releases,n_aggressive,n_less_aggressive
317,5,95,1,99
318,6,94,4,96
319,4,96,3,97
320,5,95,3,97
321,3,97,5,95
322,6,94,4,96
323,9,91,2,98
324,5,95,1,99
325,5,95,0,100
326,3,97,0,100
327,1,99,0,100
328,0,100,3,97
329,1,99,0,100
330,2,98,0,100
331,3,97,4,96
332,2,98,1,99
333,1,99,1,99
334,2,98,0,100
335,1,99,1,99
336,2,98,1,99
337,1,99,0,100
338,1,99,1,99
339,1,99,1,99
340,0,100,2,98
341,0,100,1,99
342,1,99,5,95
343,1,99,2,98
344,3,97,2,98
345,2,98,0,100
346,4,96,2,98
347,3,97,1,99
348,5,95,1,99
349,6,94,1,99
350,7,93,1,99
351,9,91,1,99
352,9,91,1,99
353,6,94,3,97
354,8,92,3,97
355,5,95,2,98
356,3,97,3,97
357,3,97,1,99
358,3,97,0,100
359,2,98,0,100
360,1,99,2,98
361,0,100,2,98
362,1,99,2,98
363,2,98,2,98
364,2,98,1,99
365,1,99,0,100
366,0,100,0,100
367,4,96,0,100
368,5,95,1,99
369,6,94,5,95
370,7,93,3,97
371,6,94,3,97
372,4,96,3,97
373,3,97,3,97
374,2,98,1,99
375,2,98,1,99
376,4,96,0,100
377,4,96,0,100
378,4,96,0,100
379,3,97,1,99
380,3,97,0,100
381,3,97,1,99
382,1,99,1,99
383,0,100,2,98
384,1,99,3,97
385,0,100,4,96
386,0,100,2,98
387,2,98,0,100
388,3,97,1,99
389,2,98,3,97
390,2,98,3,97
391,4,96,3,97
392,4,96,2,98
393,3,97,2,98
394,2,98,2,98
395,4,96,4,96
396,1,99,4,96
397,1,99,2,98
398,0,100,2,98
399,1,99,6,94
400,1,99,4,96
401,2,98,6,94
402,3,97,3,97
403,3,97,1,99
404,3,97,2,98
405,2,98,2,98
406,2,98,2,98
407,2,98,4,96
408,4,96,5,95
409,5,95,5,95
410,0,100,6,94
411,0,100,1,99
412,0,100,2,98
413,1,99,2,98
414,3,97,1,99
415,3,97,0,100
416,4,96,2,98
417,6,94,3,97
418,7,93,3,97
419,5,95,3,97
420,2,98,1,99
421,4,96,2,98
422,6,94,1,99
423,8,92,1,99
424,6,94,2,98
425,6,94,3,97
426,5,95,0,100
427,3,97,2,98
428,5,95,2,98
429,4,96,0,100
430,6,94,0,100
431,3,97,1,99
432,4,96,3,97
433,4,96,4,96
434,5,95,7,93
435,4,96,4,96
436,5,95,1,99
437,6,94,0,100
438,7,93,1,99
439,5,95,3,97
440,4,96,6,94
441,6,94,1,99
442,6,94,3,97
443,6,94,1,99
444,5,95,3,97
445,4,96,5,95
446,4,96,5,95
447,2,98,3,97
448,1,99,3,97
449,1,99,1,99
450,3,97,1,99
451,4,96,2,98
452,4,96,2,98
453,4,96,3,97
454,5,95,4,96
455,5,95,2,98
456,5,95,3,97
457,5,95,2,98
458,5,95,3,97
459,3,97,1,99
460,1,99,4,96
461,3,97,4,96
462,5,95,2,98
463,4,96,2,98
464,3,97,1,99
465,4,96,1,99
466,2,98,2,98
467,2,98,1,99
468,0,100,4,96
469,0,100,1,99
470,1,99,2,98
471,2,98,2,98
472,2,98,2,98
473,4,96,0,100
474,3,97,0,100
475,2,98,1,99
476,2,98,1,99
477,4,96,3,97
478,3,97,2,98
479,3,97,5,95
480,4,96,3,97
481,4,96,1,99
482,6,94,1,99
483,7,93,1,99
484,5,95,0,100
485,6,94,0,100
486,4,96,2,98
487,4,96,4,96
488,3,97,4,96
489,4,96,5,95
490,4,96,2,98
491,4,96,0,100
492,4,96,1,99
493,3,97,2,98
494,4,96,1,99
495,2,98,2,98
496,1,99,2,98
497,5,95,2,98
498,3,97,3,97
499,5,95,0,100
